File, Line, Severity, Id, Summary
..\workspace\DRIVER\SRC\pci_c3135.c,1941,style,redundantAssignment,Variable 'pMemBlock0->interTimerReg' is reassigned a value before the old one has been used.
..\workspace\DRIVER\SRC\pci_c3135.c,1935,style,redundantAssignment,Variable 'pMemBlock0->timerReg.count0' is reassigned a value before the old one has been used.
..\workspace\DRIVER\SRC\pci_c3135.c,1949,style,redundantAssignment,Variable 'pMemBlock0->timerReg.count1' is reassigned a value before the old one has been used.
..\workspace\DRIVER\SRC\pci_c3135.c,1673,style,variableScope,The scope of the variable 'func' can be reduced.
..\workspace\DRIVER\SRC\pci_c3135.c,1728,style,variableScope,The scope of the variable 'i' can be reduced.
..\workspace\DRIVER\SRC\pci_c3135.c,1729,style,variableScope,The scope of the variable 'func' can be reduced.
..\workspace\DRIVER\SRC\pci_c3135.c,1730,style,variableScope,The scope of the variable 'arg1' can be reduced.
..\workspace\DRIVER\SRC\pci_c3135.c,1731,style,variableScope,The scope of the variable 'arg2' can be reduced.
..\workspace\DRIVER\SRC\pci_c3135.c,289,style,unreadVariable,Variable 'intrEvent' is assigned a value that is never used.
..\workspace\DRIVER\SRC\pci_c3135.c,1048,style,unreadVariable,Variable 'ret' is assigned a value that is never used.
..\workspace\DRIVER\SRC\pci_c3135.c,308,style,unusedFunction,The function 'C3135Close' is never used.
..\workspace\DRIVER\SRC\pci_c3135.c,914,style,unusedFunction,The function 'C3135GetAdcCtrlReg' is never used.
..\workspace\DRIVER\SRC\pci_c3135.c,1400,style,unusedFunction,The function 'C3135GetAdcSelReg' is never used.
..\workspace\DRIVER\SRC\pci_c3135.c,1131,style,unusedFunction,The function 'C3135GetInputRangeChSelReg' is never used.
..\workspace\DRIVER\SRC\pci_c3135.c,1063,style,unusedFunction,The function 'C3135GetInputRangeSetReg' is never used.
..\workspace\DRIVER\SRC\pci_c3135.c,1197,style,unusedFunction,The function 'C3135GetPolarDitgReg' is never used.
..\workspace\DRIVER\SRC\pci_c3135.c,984,style,unusedFunction,The function 'C3135GetSDSetReg' is never used.
..\workspace\DRIVER\SRC\pci_c3135.c,1264,style,unusedFunction,The function 'C3135GetSynchNumSetReg' is never used.
..\workspace\DRIVER\SRC\pci_c3135.c,1333,style,unusedFunction,The function 'C3135GetSynchSetReg' is never used.
..\workspace\DRIVER\SRC\pci_c3135.c,718,style,unusedFunction,The function 'C3135PrintAd' is never used.
..\workspace\DRIVER\SRC\pci_c3135.c,360,style,unusedFunction,The function 'C3135SetIrqConfig' is never used.
..\workspace\DRIVER\SRC\pci_c3135.c,1670,style,unusedFunction,The function 'pci_c3135TimerIntr' is never used.
..\workspace\DRIVER\SRC\pci_ilc.c,1489,warning,invalidPrintfArgType_uint,%x in format string (no. 2) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_ilc.c,1690,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_ilc.c,1691,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_ilc.c,1692,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_ilc.c,1693,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_ilc.c,1714,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_ilc.c,1715,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_ilc.c,1716,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_ilc.c,1469,warning,nullPointerArithmeticRedundantCheck,Either the condition 'memAddr==(unsigned long*)0' is redundant or there is pointer arithmetic with NULL pointer.
..\workspace\DRIVER\SRC\pci_ilc.c,1521,warning,nullPointerArithmeticRedundantCheck,Either the condition 'memAddr==(unsigned long*)0' is redundant or there is pointer arithmetic with NULL pointer.
..\workspace\DRIVER\SRC\pci_ilc.c,1745,style,variableScope,The scope of the variable 'i' can be reduced.
..\workspace\DRIVER\SRC\pci_ilc.c,1746,style,variableScope,The scope of the variable 'func' can be reduced.
..\workspace\DRIVER\SRC\pci_ilc.c,1747,style,variableScope,The scope of the variable 'arg1' can be reduced.
..\workspace\DRIVER\SRC\pci_ilc.c,1748,style,variableScope,The scope of the variable 'arg2' can be reduced.
..\workspace\DRIVER\SRC\pci_ilc.c,2200,style,unusedFunction,The function 'FilcClose' is never used.
..\workspace\DRIVER\SRC\pci_ilc.c,2421,style,unusedFunction,The function 'FilcDispIn' is never used.
..\workspace\DRIVER\SRC\pci_ilc.c,2427,style,unusedFunction,The function 'FilcDispOut' is never used.
..\workspace\DRIVER\SRC\pci_ilc.c,2280,style,unusedFunction,The function 'FilcGetInputData' is never used.
..\workspace\DRIVER\SRC\pci_ilc.c,2397,style,unusedFunction,The function 'FilcGetInputLogic' is never used.
..\workspace\DRIVER\SRC\pci_ilc.c,2403,style,unusedFunction,The function 'FilcGetInputTest' is never used.
..\workspace\DRIVER\SRC\pci_ilc.c,2409,style,unusedFunction,The function 'FilcGetOutputLogic' is never used.
..\workspace\DRIVER\SRC\pci_ilc.c,2415,style,unusedFunction,The function 'FilcGetOutputTest' is never used.
..\workspace\DRIVER\SRC\pci_ilc.c,2319,style,unusedFunction,The function 'FilcGetWdtFault' is never used.
..\workspace\DRIVER\SRC\pci_ilc.c,2293,style,unusedFunction,The function 'FilcOutputMonitor' is never used.
..\workspace\DRIVER\SRC\pci_ilc.c,2385,style,unusedFunction,The function 'FilcRegRead' is never used.
..\workspace\DRIVER\SRC\pci_ilc.c,2391,style,unusedFunction,The function 'FilcRegWrite' is never used.
..\workspace\DRIVER\SRC\pci_ilc.c,2212,style,unusedFunction,The function 'FilcSetInterlock' is never used.
..\workspace\DRIVER\SRC\pci_ilc.c,2307,style,unusedFunction,The function 'FilcSetLED' is never used.
..\workspace\DRIVER\SRC\pci_iso.c,746,warning,invalidPrintfArgType_uint,%x in format string (no. 2) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_iso.c,726,warning,nullPointerArithmeticRedundantCheck,Either the condition 'memAddr==(unsigned long*)0' is redundant or there is pointer arithmetic with NULL pointer.
..\workspace\DRIVER\SRC\pci_iso.c,778,warning,nullPointerArithmeticRedundantCheck,Either the condition 'memAddr==(unsigned long*)0' is redundant or there is pointer arithmetic with NULL pointer.
..\workspace\DRIVER\SRC\pci_iso.c,338,style,redundantAssignment,Variable 'pMemBlock0->reg' is reassigned a value before the old one has been used.
..\workspace\DRIVER\SRC\pci_iso.c,909,style,variableScope,The scope of the variable 'i' can be reduced.
..\workspace\DRIVER\SRC\pci_iso.c,910,style,variableScope,The scope of the variable 'func' can be reduced.
..\workspace\DRIVER\SRC\pci_iso.c,911,style,variableScope,The scope of the variable 'arg1' can be reduced.
..\workspace\DRIVER\SRC\pci_iso.c,911,style,variableScope,The scope of the variable 'arg2' can be reduced.
..\workspace\DRIVER\SRC\pci_iso.c,1421,style,unusedFunction,The function 'C2726Close' is never used.
..\workspace\DRIVER\SRC\pci_iso.c,1489,style,unusedFunction,The function 'C2726GetInputData' is never used.
..\workspace\DRIVER\SRC\pci_iso.c,1482,style,unusedFunction,The function 'C2726Input' is never used.
..\workspace\DRIVER\SRC\pci_iso.c,1452,style,unusedFunction,The function 'C2726IrqDisable' is never used.
..\workspace\DRIVER\SRC\pci_iso.c,1446,style,unusedFunction,The function 'C2726IrqEnable' is never used.
..\workspace\DRIVER\SRC\pci_iso.c,1496,style,unusedFunction,The function 'C2726Output' is never used.
..\workspace\DRIVER\SRC\pci_iso.c,1507,style,unusedFunction,The function 'C2726RegRead' is never used.
..\workspace\DRIVER\SRC\pci_iso.c,1512,style,unusedFunction,The function 'C2726RegWrite' is never used.
..\workspace\DRIVER\SRC\pci_iso.c,1458,style,unusedFunction,The function 'C2726SetInputLogic' is never used.
..\workspace\DRIVER\SRC\pci_iso.c,1464,style,unusedFunction,The function 'C2726SetInputTest' is never used.
..\workspace\DRIVER\SRC\pci_iso.c,1427,style,unusedFunction,The function 'C2726SetIrqConfig' is never used.
..\workspace\DRIVER\SRC\pci_iso.c,1470,style,unusedFunction,The function 'C2726SetOutputLogic' is never used.
..\workspace\DRIVER\SRC\pci_iso.c,1476,style,unusedFunction,The function 'C2726SetOutputTest' is never used.
..\workspace\DRIVER\SRC\pci_iso.c,1434,style,unusedFunction,The function 'C2726StartTimer' is never used.
..\workspace\DRIVER\SRC\pci_isoc2130.c,646,warning,invalidPrintfArgType_uint,%x in format string (no. 2) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_isoc2130.c,626,warning,nullPointerArithmeticRedundantCheck,Either the condition 'memAddr==(unsigned long*)0' is redundant or there is pointer arithmetic with NULL pointer.
..\workspace\DRIVER\SRC\pci_isoc2130.c,670,warning,nullPointerArithmeticRedundantCheck,Either the condition 'memAddr==(unsigned long*)0' is redundant or there is pointer arithmetic with NULL pointer.
..\workspace\DRIVER\SRC\pci_isoc2130.c,295,style,redundantAssignment,Variable 'pMemBlock0->reg' is reassigned a value before the old one has been used.
..\workspace\DRIVER\SRC\pci_isoc2130.c,785,style,variableScope,The scope of the variable 'i' can be reduced.
..\workspace\DRIVER\SRC\pci_isoc2130.c,786,style,variableScope,The scope of the variable 'func' can be reduced.
..\workspace\DRIVER\SRC\pci_isoc2130.c,787,style,variableScope,The scope of the variable 'arg1' can be reduced.
..\workspace\DRIVER\SRC\pci_isoc2130.c,787,style,variableScope,The scope of the variable 'arg2' can be reduced.
..\workspace\DRIVER\SRC\pci_isoc2130.c,1251,style,unusedFunction,The function 'C2130Close' is never used.
..\workspace\DRIVER\SRC\pci_isoc2130.c,1326,style,unusedFunction,The function 'C2130GetInputData' is never used.
..\workspace\DRIVER\SRC\pci_isoc2130.c,1312,style,unusedFunction,The function 'C2130Input_lower' is never used.
..\workspace\DRIVER\SRC\pci_isoc2130.c,1319,style,unusedFunction,The function 'C2130Input_upper' is never used.
..\workspace\DRIVER\SRC\pci_isoc2130.c,1282,style,unusedFunction,The function 'C2130IrqDisable' is never used.
..\workspace\DRIVER\SRC\pci_isoc2130.c,1276,style,unusedFunction,The function 'C2130IrqEnable' is never used.
..\workspace\DRIVER\SRC\pci_isoc2130.c,1333,style,unusedFunction,The function 'C2130Output' is never used.
..\workspace\DRIVER\SRC\pci_isoc2130.c,1344,style,unusedFunction,The function 'C2130RegRead' is never used.
..\workspace\DRIVER\SRC\pci_isoc2130.c,1349,style,unusedFunction,The function 'C2130RegWrite' is never used.
..\workspace\DRIVER\SRC\pci_isoc2130.c,1288,style,unusedFunction,The function 'C2130SetInputLogic' is never used.
..\workspace\DRIVER\SRC\pci_isoc2130.c,1294,style,unusedFunction,The function 'C2130SetInputTest' is never used.
..\workspace\DRIVER\SRC\pci_isoc2130.c,1257,style,unusedFunction,The function 'C2130SetIrqConfig' is never used.
..\workspace\DRIVER\SRC\pci_isoc2130.c,1300,style,unusedFunction,The function 'C2130SetOutputLogic' is never used.
..\workspace\DRIVER\SRC\pci_isoc2130.c,1306,style,unusedFunction,The function 'C2130SetOutputTest' is never used.
..\workspace\DRIVER\SRC\pci_isoc2130.c,1264,style,unusedFunction,The function 'C2130StartTimer' is never used.
..\workspace\DRIVER\SRC\pci_isoc2130.c,999,style,unusedFunction,The function 'pci_isoC2130PciOutCorrect' is never used.
..\workspace\DRIVER\SRC\pci_isoc2703.c,487,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_isoc2703.c,488,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_isoc2703.c,489,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_isoc2703.c,490,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_isoc2703.c,491,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_isoc2703.c,492,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_isoc2703.c,493,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_isoc2703.c,494,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_isoc2703.c,515,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_isoc2703.c,516,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_isoc2703.c,517,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_isoc2703.c,518,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_isoc2703.c,519,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_isoc2703.c,520,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_isoc2703.c,542,warning,invalidPrintfArgType_sint,%d in format string (no. 1) requires 'int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_isoc2703.c,1678,warning,invalidPrintfArgType_uint,%x in format string (no. 2) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_isoc2703.c,1658,warning,nullPointerArithmeticRedundantCheck,Either the condition 'memAddr==(unsigned long*)0' is redundant or there is pointer arithmetic with NULL pointer.
..\workspace\DRIVER\SRC\pci_isoc2703.c,1702,warning,nullPointerArithmeticRedundantCheck,Either the condition 'memAddr==(unsigned long*)0' is redundant or there is pointer arithmetic with NULL pointer.
..\workspace\DRIVER\SRC\pci_isoc2703.c,1556,style,redundantAssignment,Variable 'pMemBlock0->reg' is reassigned a value before the old one has been used.
..\workspace\DRIVER\SRC\pci_isoc2703.c,535,style,variableScope,The scope of the variable 'data' can be reduced.
..\workspace\DRIVER\SRC\pci_isoc2703.c,1741,style,variableScope,The scope of the variable 'i' can be reduced.
..\workspace\DRIVER\SRC\pci_isoc2703.c,1742,style,variableScope,The scope of the variable 'func' can be reduced.
..\workspace\DRIVER\SRC\pci_isoc2703.c,1743,style,variableScope,The scope of the variable 'arg1' can be reduced.
..\workspace\DRIVER\SRC\pci_isoc2703.c,1743,style,variableScope,The scope of the variable 'arg2' can be reduced.
..\workspace\DRIVER\SRC\pci_isoc2703.c,535,style,unreadVariable,Variable 'data' is assigned a value that is never used.
..\workspace\DRIVER\SRC\pci_isoc2703.c,1832,style,unusedFunction,The function 'C2703Close' is never used.
..\workspace\DRIVER\SRC\pci_isoc2703.c,477,style,unusedFunction,The function 'C2703DispIn' is never used.
..\workspace\DRIVER\SRC\pci_isoc2703.c,505,style,unusedFunction,The function 'C2703DispOut' is never used.
..\workspace\DRIVER\SRC\pci_isoc2703.c,279,style,unusedFunction,The function 'C2703GetInputData' is never used.
..\workspace\DRIVER\SRC\pci_isoc2703.c,393,style,unusedFunction,The function 'C2703GetInputLogic' is never used.
..\workspace\DRIVER\SRC\pci_isoc2703.c,423,style,unusedFunction,The function 'C2703GetInputTest' is never used.
..\workspace\DRIVER\SRC\pci_isoc2703.c,451,style,unusedFunction,The function 'C2703GetOutputLogic' is never used.
..\workspace\DRIVER\SRC\pci_isoc2703.c,1233,style,unusedFunction,The function 'C2703GetOutputTest' is never used.
..\workspace\DRIVER\SRC\pci_isoc2703.c,1863,style,unusedFunction,The function 'C2703IrqDisable' is never used.
..\workspace\DRIVER\SRC\pci_isoc2703.c,1857,style,unusedFunction,The function 'C2703IrqEnable' is never used.
..\workspace\DRIVER\SRC\pci_isoc2703.c,311,style,unusedFunction,The function 'C2703Output_lower' is never used.
..\workspace\DRIVER\SRC\pci_isoc2703.c,354,style,unusedFunction,The function 'C2703Output_upper' is never used.
..\workspace\DRIVER\SRC\pci_isoc2703.c,1875,style,unusedFunction,The function 'C2703RegRead' is never used.
..\workspace\DRIVER\SRC\pci_isoc2703.c,1881,style,unusedFunction,The function 'C2703RegWrite' is never used.
..\workspace\DRIVER\SRC\pci_isoc2703.c,58,style,unusedFunction,The function 'C2703SetInputLogic' is never used.
..\workspace\DRIVER\SRC\pci_isoc2703.c,95,style,unusedFunction,The function 'C2703SetInputTest' is never used.
..\workspace\DRIVER\SRC\pci_isoc2703.c,1838,style,unusedFunction,The function 'C2703SetIrqConfig' is never used.
..\workspace\DRIVER\SRC\pci_isoc2703.c,1845,style,unusedFunction,The function 'C2703StartTimer' is never used.
..\workspace\DRIVER\SRC\pci_isoc2703.c,547,style,unusedFunction,The function 'readback2703' is never used.
..\workspace\DRIVER\SRC\pci_isoc2994.c,487,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_isoc2994.c,488,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_isoc2994.c,489,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_isoc2994.c,490,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_isoc2994.c,491,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_isoc2994.c,492,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_isoc2994.c,493,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_isoc2994.c,494,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_isoc2994.c,515,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_isoc2994.c,516,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_isoc2994.c,517,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_isoc2994.c,518,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_isoc2994.c,519,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_isoc2994.c,520,warning,invalidPrintfArgType_uint,%X in format string (no. 1) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_isoc2994.c,542,warning,invalidPrintfArgType_sint,%d in format string (no. 1) requires 'int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_isoc2994.c,1678,warning,invalidPrintfArgType_uint,%x in format string (no. 2) requires 'unsigned int' but the argument type is 'unsigned long'.
..\workspace\DRIVER\SRC\pci_isoc2994.c,1658,warning,nullPointerArithmeticRedundantCheck,Either the condition 'memAddr==(unsigned long*)0' is redundant or there is pointer arithmetic with NULL pointer.
..\workspace\DRIVER\SRC\pci_isoc2994.c,1702,warning,nullPointerArithmeticRedundantCheck,Either the condition 'memAddr==(unsigned long*)0' is redundant or there is pointer arithmetic with NULL pointer.
..\workspace\DRIVER\SRC\pci_isoc2994.c,1556,style,redundantAssignment,Variable 'pMemBlock0->reg' is reassigned a value before the old one has been used.
..\workspace\DRIVER\SRC\pci_isoc2994.c,535,style,variableScope,The scope of the variable 'data' can be reduced.
..\workspace\DRIVER\SRC\pci_isoc2994.c,1741,style,variableScope,The scope of the variable 'i' can be reduced.
..\workspace\DRIVER\SRC\pci_isoc2994.c,1742,style,variableScope,The scope of the variable 'func' can be reduced.
..\workspace\DRIVER\SRC\pci_isoc2994.c,1743,style,variableScope,The scope of the variable 'arg1' can be reduced.
..\workspace\DRIVER\SRC\pci_isoc2994.c,1743,style,variableScope,The scope of the variable 'arg2' can be reduced.
..\workspace\DRIVER\SRC\pci_isoc2994.c,535,style,unreadVariable,Variable 'data' is assigned a value that is never used.
..\workspace\DRIVER\SRC\pci_isoc2994.c,551,style,unreadVariable,Variable 'data' is assigned a value that is never used.
..\workspace\DRIVER\SRC\pci_isoc2994.c,552,style,unusedVariable,Unused variable: maskbit
..\workspace\DRIVER\SRC\pci_isoc2994.c,1832,style,unusedFunction,The function 'C2994Close' is never used.
..\workspace\DRIVER\SRC\pci_isoc2994.c,477,style,unusedFunction,The function 'C2994DispIn' is never used.
..\workspace\DRIVER\SRC\pci_isoc2994.c,505,style,unusedFunction,The function 'C2994DispOut' is never used.
..\workspace\DRIVER\SRC\pci_isoc2994.c,279,style,unusedFunction,The function 'C2994GetInputData' is never used.
..\workspace\DRIVER\SRC\pci_isoc2994.c,393,style,unusedFunction,The function 'C2994GetInputLogic' is never used.
..\workspace\DRIVER\SRC\pci_isoc2994.c,423,style,unusedFunction,The function 'C2994GetInputTest' is never used.
..\workspace\DRIVER\SRC\pci_isoc2994.c,451,style,unusedFunction,The function 'C2994GetOutputLogic' is never used.
..\workspace\DRIVER\SRC\pci_isoc2994.c,1233,style,unusedFunction,The function 'C2994GetOutputTest' is never used.
..\workspace\DRIVER\SRC\pci_isoc2994.c,1863,style,unusedFunction,The function 'C2994IrqDisable' is never used.
..\workspace\DRIVER\SRC\pci_isoc2994.c,1857,style,unusedFunction,The function 'C2994IrqEnable' is never used.
..\workspace\DRIVER\SRC\pci_isoc2994.c,311,style,unusedFunction,The function 'C2994Output_lower' is never used.
..\workspace\DRIVER\SRC\pci_isoc2994.c,1875,style,unusedFunction,The function 'C2994RegRead' is never used.
..\workspace\DRIVER\SRC\pci_isoc2994.c,1881,style,unusedFunction,The function 'C2994RegWrite' is never used.
..\workspace\DRIVER\SRC\pci_isoc2994.c,1838,style,unusedFunction,The function 'C2994SetIrqConfig' is never used.
..\workspace\DRIVER\SRC\pci_isoc2994.c,1845,style,unusedFunction,The function 'C2994StartTimer' is never used.
..\workspace\DRIVER\SRC\pci_isoc2994.c,547,style,unusedFunction,The function 'readback2994' is never used.
..\workspace\DRIVER\SRC\pci_pls.c,890,warning,invalidPrintfArgType_uint,%x in format string (no. 2) requires 'unsigned int' but the argument type is 'unsigned long'.
